id,year,victim,role,actor_or_malware,initial_access_public,planes,primary_impact,disruption_reported,attack_path,path_confidence,sources
INC-01,2017,Renault-Nissan,OEM,WannaCry,"Self-propagating SMB worm (MS17-010) reaching flat plant networks",it;ot,imp_prod_stop,"Production halted at five sites (Douai and Sandouville in France, Novo Mesto in Slovenia, Pitesti in Romania, Chennai in India); most operations restored within a weekend",ext_actor|it_email|it_user_ws|ops_ews|ops_mes|imp_prod_stop,medium,https://www.controleng.com/throwback-attack-wannacry-ransomware-takes-renault-nissan-plants-offline/;https://www.nbcnews.com/business/autos/european-car-plants-halted-wannacry-ransomware-attack-n759496
INC-02,2017,Honda,OEM,WannaCry,"Residual worm infection of plant network hosts five weeks after the global outbreak",it;ot,imp_prod_stop,"Sayama plant (Japan) halted for approximately one day",ext_actor|it_email|it_user_ws|ops_ews|ops_mes|imp_prod_stop,low,https://www.pressreader.com/malaysia/new-straits-times/20170622/282351154776826
INC-03,2020,Honda,OEM,EKANS/Snake,"Intrusion into the internal corporate network; ransomware carrying an ICS-aware process kill list",it;identity;ot,imp_prod_stop,"Production interrupted in the USA, Turkey, Italy, India and Japan; several plants stopped for at least one day",ext_actor|it_user_ws|id_user_cred|id_ad|id_pam|it_sccm|imp_prod_stop,low,https://www.theregister.com/2020/06/09/honda_ransomware_snake_ekans_malware/;https://www.controleng.com/throwback-attack-snake-ransomware-hits-honda-plants/
INC-04,2022,Toyota (via Kojima Industries),OEM via Tier-1,LockBit-linked ransomware,"Compromise of a third-party business partner, then of the Tier-1 supplier's file servers",supply_chain;it,imp_prod_stop,"All 28 lines at 14 Japanese plants stopped for one day; roughly 13,000 vehicles of output lost",ext_actor|sup_tier1|sup_edi|imp_prod_stop,high,https://www.cnn.com/2022/03/01/business/toyota-japan-cyberattack-production-restarts-intl-hnk;https://www.infosecurity-magazine.com/news/toyota-production-japan-ransomware/
INC-05,2022,Denso,Tier-1,Pandora,"Ransomware intrusion at a German group company",it,imp_ip,"Approximately 1.4 TB of engineering and business data claimed by the actor; no reported line stoppage",ext_actor|sup_tier1|imp_ip,medium,https://www.bleepingcomputer.com/news/security/automotive-giant-denso-hit-by-new-pandora-ransomware-gang/
INC-06,2022,Bridgestone Americas,Tier-1,LockBit,"Ransomware intrusion into the corporate estate",it;identity;ot,imp_prod_stop,"Networks disconnected and manufacturing and retreading plants across North and Latin America stopped for several days",ext_actor|it_email|it_user_ws|id_user_cred|id_ad|id_pam|it_sccm|imp_prod_stop,low,https://www.bleepingcomputer.com/news/security/bridgestone-americas-confirms-ransomware-attack-lockbit-leaks-data/;https://industrialcyber.co/threats-attacks/bridgestone-cyberattack-disrupts-manufacturing-raises-supply-chain-concerns/
INC-07,2022,Continental,Tier-1,LockBit 3.0,"Malicious browser download executed by an employee",it;identity,imp_ip,"Approximately 40 TB of data exfiltrated, reportedly including material belonging to OEM customers; no confirmed production stoppage",ext_actor|it_user_ws|it_fileshare|imp_ip,medium,https://www.bleepingcomputer.com/news/security/lockbit-ransomware-claims-attack-on-continental-automotive-giant/;https://borncity.com/win/2022/12/17/ransomware-at-continental-infection-via-an-employees-browser-download/
INC-08,2020,Tesla (Gigafactory Nevada),OEM,Attempted insider recruitment,"Offer of USD 1 million to an employee to deploy malware inside the plant network; reported to the FBI and thwarted",it;identity,imp_prod_stop,"Attempt only: no disruption; the perpetrator pleaded guilty in 2021",ext_actor|it_insider|it_sccm|imp_prod_stop,attempted,https://www.bleepingcomputer.com/news/security/elon-musk-confirmed-russians-plans-to-extort-tesla/;https://fortune.com/2021/03/19/russian-pleads-guilty-ransomware-plot-against-tesla
INC-09,2023,Toyota (T-Connect / G-Link),OEM cloud,Misconfiguration,"Cloud environment left publicly accessible for almost ten years",cloud,imp_pii,"Vehicle location and identifier data of 2.15 million customers exposed between 2013 and 2023",ext_actor|cld_storage|imp_pii,high,https://www.bleepingcomputer.com/news/security/toyota-car-location-data-of-2-million-customers-exposed-for-ten-years/
INC-10,2024,Volkswagen Group (Cariad),OEM cloud,Misconfiguration,"Misconfigured cloud storage in the group's software subsidiary, disclosed by the Chaos Computer Club",cloud,imp_pii,"Data of about 800,000 electric vehicles, including precise location data for roughly 460,000 of them",ext_actor|cld_storage|imp_pii,high,https://www.bleepingcomputer.com/news/security/customer-data-from-800-000-electric-cars-and-owners-exposed-online/;https://electrek.co/2024/12/30/massive-data-leak-at-volkswagen-exposes-800000-ev-drivers/
