src,dst,technique,technique_name,matrix,tactic,p,delta,effort_h,crosses_zone,src_zone,dst_zone,controls,evidence,rationale
ext_actor,it_email,T1566.001,Phishing: Spearphishing Attachment,enterprise,Initial Access,0.85,0.3,4,1,Z-EXT,Z-IT,C07,INC-07,Mail delivery of a lure to a corporate mailbox
it_email,it_user_ws,T1204.002,User Execution: Malicious File,enterprise,Execution,0.35,0.45,2,0,Z-IT,Z-IT,C06 C07,INC-07,User opens the attachment and the loader executes
ext_actor,it_user_ws,T1189,Drive-by Compromise,enterprise,Initial Access,0.22,0.4,8,1,Z-EXT,Z-IT,C06 C07,INC-07,Drive-by download from an employee browsing session
ext_actor,it_edge_app,T1190,Exploit Public-Facing Application,enterprise,Initial Access,0.45,0.35,24,1,Z-EXT,Z-IT,C10 C07,INC-18,Exploitation of an Internet-facing enterprise application
ext_actor,it_vpn,T1133,External Remote Services,enterprise,Initial Access,0.38,0.3,12,1,Z-EXT,Z-IT,C01 C02,INC-13,Authentication to remote access with harvested credentials
ext_actor,id_legacy_cred,T1078,Valid Accounts,enterprise,Initial Access,0.3,0.2,6,1,Z-EXT,Z-IDP,C12,INC-18 INC-19,Reuse of dormant contractor or legacy integration accounts
ext_actor,it_helpdesk,T1656,Impersonation,enterprise,Defense Evasion,0.35,0.4,6,1,Z-EXT,Z-IT,C01 C15,INC-18,Voice social engineering of the service desk
ext_actor,saas_crm,T1078.004,Valid Accounts: Cloud Accounts,enterprise,Initial Access,0.3,0.3,10,1,Z-EXT,Z-SAAS,C11,INC-17,Abuse of OAuth tokens held by an integrated SaaS application
ext_actor,cld_storage,T1530,Data from Cloud Storage,enterprise,Collection,0.18,0.55,16,1,Z-EXT,Z-CLD,C16,INC-09 INC-10,Discovery of misconfigured object storage
ext_actor,saas_dms,T1190,Exploit Public-Facing Application,enterprise,Initial Access,0.25,0.4,20,1,Z-EXT,Z-SAAS,C11 C10,INC-11,Exploitation of a shared retail SaaS platform
ext_actor,sup_tier1,T1566,Phishing,enterprise,Initial Access,0.55,0.55,8,1,Z-EXT,Z-SUP,C14,INC-04 INC-14 INC-16,Phishing of a supplier with weaker controls
ext_actor,sup_vendor_ra,T1133,External Remote Services,enterprise,Initial Access,0.3,0.45,12,1,Z-EXT,Z-SUP,C04 C14,INC-04,Compromise of an integrator maintenance account
