step_id,priority,src,dst,src_name,dst_name,technique,technique_name,question_p,question_delta,question_effort,current_p,current_delta,current_effort_h,your_p,your_delta,your_effort_h,comment
ext_actor|sup_tier1|T1566,0.15156,ext_actor,sup_tier1,External threat actor,Tier-1 supplier IT estate,T1566,Phishing,"Given an attacker who already controls 'External threat actor', how often does T1566 against 'Tier-1 supplier IT estate' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|it_edge_app|T1190,0.11197,ext_actor,it_edge_app,External threat actor,Internet-facing enterprise application,T1190,Exploit Public-Facing Application,"Given an attacker who already controls 'External threat actor', how often does T1190 against 'Internet-facing enterprise application' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|it_vpn|T1133,0.11193,ext_actor,it_vpn,External threat actor,Remote access VPN gateway,T1133,External Remote Services,"Given an attacker who already controls 'External threat actor', how often does T1133 against 'Remote access VPN gateway' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_fileshare|imp_ip|T1567.002,0.10849,it_fileshare,imp_ip,Engineering and business file shares,Theft of engineering and design data,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,"Given an attacker who already controls 'Engineering and business file shares', how often does T1567.002 against 'Theft of engineering and design data' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|saas_crm|T1078.004,0.10453,ext_actor,saas_crm,External threat actor,Third-party CRM / customer platform,T1078.004,Valid Accounts: Cloud Accounts,"Given an attacker who already controls 'External threat actor', how often does T1078.004 against 'Third-party CRM / customer platform' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|saas_dms|T1190,0.10453,ext_actor,saas_dms,External threat actor,Dealer management platform,T1190,Exploit Public-Facing Application,"Given an attacker who already controls 'External threat actor', how often does T1190 against 'Dealer management platform' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
saas_crm|imp_pii|T1567.002,0.10453,saas_crm,imp_pii,Third-party CRM / customer platform,Customer personal data breach,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,"Given an attacker who already controls 'Third-party CRM / customer platform', how often does T1567.002 against 'Customer personal data breach' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_erp|imp_prod_stop|T1486,0.09794,it_erp,imp_prod_stop,ERP and production planning core,Production stoppage,T1486,Data Encrypted for Impact,"Given an attacker who already controls 'ERP and production planning core', how often does T1486 against 'Production stoppage' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_vpn|it_user_ws|T1021.001,0.08842,it_vpn,it_user_ws,Remote access VPN gateway,Employee workstation,T1021.001,Remote Services: Remote Desktop Protocol,"Given an attacker who already controls 'Remote access VPN gateway', how often does T1021.001 against 'Employee workstation' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ops_ews|imp_ip|T1213,0.08505,ops_ews,imp_ip,Engineering workstation,Theft of engineering and design data,T1213,Data from Information Repositories,"Given an attacker who already controls 'Engineering workstation', how often does T1213 against 'Theft of engineering and design data' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|id_legacy_cred|T1078,0.08035,ext_actor,id_legacy_cred,External threat actor,Dormant third-party / legacy credentials,T1078,Valid Accounts,"Given an attacker who already controls 'External threat actor', how often does T1078 against 'Dormant third-party / legacy credentials' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_user_ws|ops_ews|T1210,0.07828,it_user_ws,ops_ews,Employee workstation,Engineering workstation,T1210,Exploitation of Remote Services,"Given an attacker who already controls 'Employee workstation', how often does T1210 against 'Engineering workstation' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
prc_line|imp_prod_stop|T0828,0.07745,prc_line,imp_prod_stop,Assembly and weld line,Production stoppage,T0828,Loss of Productivity and Revenue,"Given an attacker who already controls 'Assembly and weld line', how often does T0828 against 'Production stoppage' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
